layer,auroc,pr_auc
0,0.5342351744264934,0.19003786193122757
1,0.5128207017531878,0.18073729184650617
2,0.5815612542842155,0.20754458959684402
3,0.6078718319809371,0.2238471118668014
4,0.6386226639332993,0.24489545108159616
5,0.6541086504534874,0.25924743193996613
6,0.6530234326883728,0.26544580221577646
7,0.6715054720962359,0.28156625105043637
8,0.687083832870174,0.2977403941088902
9,0.7130558247807774,0.33045781659364704
10,0.7677548617342529,0.41504974509958004
11,0.7863156169458951,0.4470048114304256
12,0.8176489099029334,0.5006681964154409
13,0.821543634883753,0.5120446320596151
14,0.8592337681452956,0.5692690375012288
15,0.881063745244029,0.6122514757921882
16,0.8820609918083446,0.6130558594502915
17,0.8794364128165861,0.6075123379779441
18,0.887658080833223,0.6242188537584503
19,0.8730031031638901,0.580075925925138
20,0.8905986013387798,0.6219665735615274
21,0.893636348442155,0.6257628131212418
22,0.8904843016784977,0.6107832724277682
23,0.8986173694867713,0.63107750152896
24,0.8984972290419622,0.6305304979488321
25,0.9028183312932522,0.6417078393548881
26,0.9060533171971927,0.6498688284176742
27,0.9082446896934955,0.6521107653947809
28,0.9057003540953154,0.64864509906381
29,0.9116420494072862,0.6640071691781103
30,0.9193889065709903,0.6899271484571056
31,0.9240100454305207,0.7060111859736481
32,0.9713659582184421,0.8762140139903513
