layer,auroc,pr_auc
0,0.6186004545747811,0.23569611775689078
1,0.7000079614386014,0.27438283120832685
2,0.7993623121311656,0.41649399533174325
3,0.8902140980004569,0.6175925464875364
4,0.9214414481119979,0.6906033445245245
5,0.9353582404753428,0.7392054003616177
6,0.940328837966034,0.756000536031828
7,0.9424585677210211,0.7633478888894214
8,0.9453989983683543,0.7782942723895585
9,0.9501134999220929,0.7957824694070824
10,0.9461171452905035,0.7796458821915202
11,0.9483379912841118,0.7866348376117487
12,0.9507409798967383,0.8005758419488462
13,0.9521242573891766,0.8048732745410729
14,0.954554742618192,0.8127011751939119
15,0.957176536005022,0.8219703729154721
16,0.96121737045724,0.8378416052654696
17,0.9634432485113638,0.8452015921735947
18,0.9658311409424438,0.8581452516689618
19,0.9670435080937999,0.8614784574648696
20,0.9672255608545948,0.8629111510632907
21,0.9674275621410052,0.862412002731869
22,0.9681431930328966,0.8658491551651326
23,0.9685437809932246,0.8667054701305332
24,0.9695625036729549,0.869566651123953
25,0.9690560627253533,0.8668571989965923
26,0.9688571166185417,0.864283225495392
27,0.9682087895360457,0.8617199757127463
28,0.9588295678843834,0.8255726276621883
