layer,auroc,pr_auc
0,0.6346941554696346,0.25846118602177726
1,0.6420069389557032,0.26149157956807817
2,0.6561500900746944,0.27589198303325246
3,0.6985951195892879,0.3022843034234007
4,0.7087814816397154,0.30904960343753557
5,0.7679263772883601,0.4026817970091089
6,0.7877374696487442,0.4229984121135262
7,0.8183085716930483,0.475348679845683
8,0.8316106103005575,0.4895643541079252
9,0.8581421471243742,0.5577293913739358
10,0.8685256588269641,0.5700499830804637
11,0.8811343359038444,0.5883896702806091
12,0.8951444221334528,0.6116196245301574
13,0.8991007661689416,0.6226030044641867
14,0.8980335768554318,0.6215111961204663
15,0.8987696615612472,0.6182105765358207
16,0.8916825098441317,0.5949168397525273
17,0.8921146369598189,0.5916677848890748
18,0.8954639558812011,0.5983428531193593
19,0.8969174339036878,0.6002787422479084
20,0.8999739210618133,0.6065635919400684
21,0.9008025726471991,0.608834166239061
22,0.9056040344918433,0.6184643121096807
23,0.9077829164263488,0.6219481675177166
24,0.9105870698310298,0.6329941247840929
25,0.9111958750774358,0.6348991873858045
26,0.9179310056323385,0.6510270339314579
27,0.9224124886961599,0.6669663272330707
28,0.9235313018463532,0.6664717254669894
29,0.9289829570133652,0.6845281998707238
30,0.9340892665142875,0.7044818259452019
31,0.9529755801451164,0.7759924866230545
