condition,strength,mean_valid_choice_mass,min_valid_choice_mass,chose_positive_rate,n
activation_patch_mismatched_prompt,0.0,0.9783018369877075,0.956907828861508,0.0,500
baseline,0.0,0.9781721749281471,0.9569237431504896,0.0,500
negative_steering,4.0,0.9762678491392653,0.9530473568715245,0.0,500
nuisance_steering_nuisance_made_hand,4.0,0.9776721395519594,0.9565392181945427,0.0,500
orthogonal,4.0,0.977825530808796,0.9574006782488357,0.0,500
positive_steering,4.0,0.9798231683876287,0.9579663397829019,0.0,500
random_matched_norm,4.0,0.9797433243389757,0.9591360602919965,0.0,500
shuffled_label,4.0,0.9784992745083746,0.957913802501374,0.0,500
wrong_layer,4.0,0.040005121314490924,0.018468433466187633,0.992,500
wrong_token_position,4.0,0.9782680767602525,0.9576311698443312,0.0,500
