activation_layer_index,physical_layer,mean_validation_auroc,sd_across_seeds,seed_2026_validation_auroc,seed_2027_validation_auroc,seed_2028_validation_auroc,seed_2029_validation_auroc,seed_2030_validation_auroc
0,0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
1,1,0.6125091937338099,0.0,0.6125091937338099,0.6125091937338099,0.6125091937338099,0.6125091937338099,0.6125091937338099
2,2,0.6642435830793598,0.0,0.6642435830793598,0.6642435830793598,0.6642435830793598,0.6642435830793598,0.6642435830793598
3,3,0.6901086208644375,0.0,0.6901086208644375,0.6901086208644375,0.6901086208644375,0.6901086208644375,0.6901086208644375
4,4,0.7261142661585039,0.0,0.7261142661585039,0.7261142661585039,0.7261142661585039,0.7261142661585039,0.7261142661585039
5,5,0.7245411760645859,0.0,0.7245411760645859,0.7245411760645859,0.7245411760645859,0.7245411760645859,0.7245411760645859
6,6,0.7396314813576601,0.0,0.7396314813576601,0.7396314813576601,0.7396314813576601,0.7396314813576601,0.7396314813576601
7,7,0.7350035193217596,0.0,0.7350035193217596,0.7350035193217596,0.7350035193217596,0.7350035193217596,0.7350035193217596
8,8,0.7346422406324571,0.0,0.7346422406324571,0.7346422406324571,0.7346422406324571,0.7346422406324571,0.7346422406324571
9,9,0.7896967991067609,0.0,0.7896967991067609,0.7896967991067609,0.7896967991067609,0.7896967991067609,0.7896967991067609
10,10,0.7981072232012095,0.0,0.7981072232012095,0.7981072232012095,0.7981072232012095,0.7981072232012095,0.7981072232012095
11,11,0.7971326694433001,0.0,0.7971326694433001,0.7971326694433001,0.7971326694433001,0.7971326694433001,0.7971326694433001
12,12,0.8300262852714047,1.2412670766236366e-16,0.8300262852714048,0.8300262852714048,0.8300262852714048,0.8300262852714048,0.8300262852714048
13,13,0.8721927207916064,1.2412670766236366e-16,0.8721927207916065,0.8721927207916065,0.8721927207916065,0.8721927207916065,0.8721927207916065
14,14,0.8865672988504508,0.0,0.8865672988504508,0.8865672988504508,0.8865672988504508,0.8865672988504508,0.8865672988504508
15,15,0.9112420941078859,1.2412670766236366e-16,0.911242094107886,0.911242094107886,0.911242094107886,0.911242094107886,0.911242094107886
16,16,0.9097117822866316,0.0,0.9097117822866316,0.9097117822866316,0.9097117822866316,0.9097117822866316,0.9097117822866316
17,17,0.9150026278081779,0.0,0.9150026278081779,0.9150026278081779,0.9150026278081779,0.9150026278081779,0.9150026278081779
18,18,0.9145065436377925,0.0,0.9145065436377925,0.9145065436377925,0.9145065436377925,0.9145065436377925,0.9145065436377925
19,19,0.9182548549744661,0.0,0.9182548549744661,0.9182548549744661,0.9182548549744661,0.9182548549744661,0.9182548549744661
20,20,0.9179014848733871,1.2412670766236366e-16,0.9179014848733872,0.9179014848733872,0.9179014848733872,0.9179014848733872,0.9179014848733872
21,21,0.9183440063326224,1.2412670766236366e-16,0.9183440063326223,0.9183440063326223,0.9183440063326223,0.9183440063326223,0.9183440063326223
22,22,0.9227782079570461,1.2412670766236366e-16,0.9227782079570462,0.9227782079570462,0.9227782079570462,0.9227782079570462,0.9227782079570462
23,23,0.9245612351201711,0.0,0.9245612351201711,0.9245612351201711,0.9245612351201711,0.9245612351201711,0.9245612351201711
24,24,0.9274636869982091,1.2412670766236366e-16,0.927463686998209,0.927463686998209,0.927463686998209,0.927463686998209,0.927463686998209
25,25,0.9306199326619662,0.0,0.9306199326619662,0.9306199326619662,0.9306199326619662,0.9306199326619662,0.9306199326619662
26,26,0.9333958471284273,1.2412670766236366e-16,0.9333958471284274,0.9333958471284274,0.9333958471284274,0.9333958471284274,0.9333958471284274
27,27,0.9353032548154314,0.0,0.9353032548154314,0.9353032548154314,0.9353032548154314,0.9353032548154314,0.9353032548154314
28,28,0.9359618245256826,0.0,0.9359618245256826,0.9359618245256826,0.9359618245256826,0.9359618245256826,0.9359618245256826
29,29,0.9364305881185684,1.2412670766236366e-16,0.9364305881185685,0.9364305881185685,0.9364305881185685,0.9364305881185685,0.9364305881185685
30,30,0.9413080301647933,0.0,0.9413080301647933,0.9413080301647933,0.9413080301647933,0.9413080301647933,0.9413080301647933
31,31,0.940805475331316,0.0,0.940805475331316,0.940805475331316,0.940805475331316,0.940805475331316,0.940805475331316
