activation_layer_index,physical_layer,mean_validation_auroc,sd_across_seeds,seed_2026_validation_auroc,seed_2027_validation_auroc,seed_2028_validation_auroc,seed_2029_validation_auroc,seed_2030_validation_auroc
0,0,0.616396983808244,0.0,0.616396983808244,0.616396983808244,0.616396983808244,0.616396983808244,0.616396983808244
1,1,0.6292779171366885,0.0,0.6292779171366885,0.6292779171366885,0.6292779171366885,0.6292779171366885,0.6292779171366885
2,2,0.6598302313693434,0.0,0.6598302313693434,0.6598302313693434,0.6598302313693434,0.6598302313693434,0.6598302313693434
3,3,0.7023133698997694,0.0,0.7023133698997694,0.7023133698997694,0.7023133698997694,0.7023133698997694,0.7023133698997694
4,4,0.7405672111370177,0.0,0.7405672111370177,0.7405672111370177,0.7405672111370177,0.7405672111370177,0.7405672111370177
5,5,0.7609113353795008,0.0,0.7609113353795008,0.7609113353795008,0.7609113353795008,0.7609113353795008,0.7609113353795008
6,6,0.7998906098456172,0.0,0.7998906098456172,0.7998906098456172,0.7998906098456172,0.7998906098456172,0.7998906098456172
7,7,0.8217197512677107,0.0,0.8217197512677107,0.8217197512677107,0.8217197512677107,0.8217197512677107,0.8217197512677107
8,8,0.8378539902062918,1.2412670766236366e-16,0.8378539902062919,0.8378539902062919,0.8378539902062919,0.8378539902062919,0.8378539902062919
9,9,0.8619054449191992,1.2412670766236366e-16,0.8619054449191993,0.8619054449191993,0.8619054449191993,0.8619054449191993,0.8619054449191993
10,10,0.8764662342825795,0.0,0.8764662342825795,0.8764662342825795,0.8764662342825795,0.8764662342825795,0.8764662342825795
11,11,0.9071145300177654,0.0,0.9071145300177654,0.9071145300177654,0.9071145300177654,0.9071145300177654,0.9071145300177654
12,12,0.9169416698480761,0.0,0.9169416698480761,0.9169416698480761,0.9169416698480761,0.9169416698480761,0.9169416698480761
13,13,0.9143264435150655,0.0,0.9143264435150655,0.9143264435150655,0.9143264435150655,0.9143264435150655,0.9143264435150655
14,14,0.9101467546389262,0.0,0.9101467546389262,0.9101467546389262,0.9101467546389262,0.9101467546389262,0.9101467546389262
15,15,0.9091693250307535,0.0,0.9091693250307535,0.9091693250307535,0.9091693250307535,0.9091693250307535,0.9091693250307535
16,16,0.9114552665086387,0.0,0.9114552665086387,0.9114552665086387,0.9114552665086387,0.9114552665086387,0.9114552665086387
17,17,0.9105802890660891,0.0,0.9105802890660891,0.9105802890660891,0.9105802890660891,0.9105802890660891,0.9105802890660891
18,18,0.9097462924897888,1.2412670766236366e-16,0.9097462924897889,0.9097462924897889,0.9097462924897889,0.9097462924897889,0.9097462924897889
19,19,0.9102909066333641,1.2412670766236366e-16,0.9102909066333642,0.9102909066333642,0.9102909066333642,0.9102909066333642,0.9102909066333642
20,20,0.908828177293293,0.0,0.908828177293293,0.908828177293293,0.908828177293293,0.908828177293293,0.908828177293293
21,21,0.9108416319587489,0.0,0.9108416319587489,0.9108416319587489,0.9108416319587489,0.9108416319587489,0.9108416319587489
22,22,0.9131354820248575,0.0,0.9131354820248575,0.9131354820248575,0.9131354820248575,0.9131354820248575,0.9131354820248575
23,23,0.9141405916918124,0.0,0.9141405916918124,0.9141405916918124,0.9141405916918124,0.9141405916918124,0.9141405916918124
24,24,0.9182358024664732,1.2412670766236366e-16,0.9182358024664731,0.9182358024664731,0.9182358024664731,0.9182358024664731,0.9182358024664731
25,25,0.9222691824604767,1.2412670766236366e-16,0.9222691824604768,0.9222691824604768,0.9222691824604768,0.9222691824604768,0.9222691824604768
26,26,0.9268184180954251,0.0,0.9268184180954251,0.9268184180954251,0.9268184180954251,0.9268184180954251,0.9268184180954251
27,27,0.9308309481750214,0.0,0.9308309481750214,0.9308309481750214,0.9308309481750214,0.9308309481750214,0.9308309481750214
28,28,0.9337671912936509,0.0,0.9337671912936509,0.9337671912936509,0.9337671912936509,0.9337671912936509,0.9337671912936509
29,29,0.9379364552125866,1.2412670766236366e-16,0.9379364552125865,0.9379364552125865,0.9379364552125865,0.9379364552125865,0.9379364552125865
30,30,0.9400915455035005,1.2412670766236366e-16,0.9400915455035004,0.9400915455035004,0.9400915455035004,0.9400915455035004,0.9400915455035004
31,31,0.9402123312145507,0.0,0.9402123312145507,0.9402123312145507,0.9402123312145507,0.9402123312145507,0.9402123312145507
