condition,strength,mean_valid_choice_mass,min_valid_choice_mass,chose_positive_rate,n
activation_patch_mismatched_prompt,0.0,0.9798001282390489,0.9592677314594573,0.0,500
baseline,0.0,0.9797173943786959,0.9583890519556992,0.0,500
negative_steering,4.0,0.9778702660794085,0.9552971353602528,0.0,500
nuisance_steering_nuisance_made_hand,4.0,0.9793008618061663,0.9574267961489549,0.0,500
orthogonal,4.0,0.9793598995664545,0.9590399456056464,0.0,500
positive_steering,4.0,0.9812551126144069,0.9610086705777889,0.0,500
random_matched_norm,4.0,0.9812342812663257,0.9610069281828403,0.0,500
shuffled_label,4.0,0.9799511904088011,0.9598922764275735,0.0,500
wrong_layer,4.0,0.04414962928674647,0.01994078692089301,0.952,500
wrong_token_position,4.0,0.979789932009083,0.9585303923402342,0.0,500
