layer,mean_validation_auroc,sd_across_seeds,seed_2026_validation_auroc,seed_2027_validation_auroc,seed_2028_validation_auroc,seed_2029_validation_auroc,seed_2030_validation_auroc
0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
1,0.6125091937338099,0.0,0.6125091937338099,0.6125091937338099,0.6125091937338099,0.6125091937338099,0.6125091937338099
2,0.6642435830793598,0.0,0.6642435830793598,0.6642435830793598,0.6642435830793598,0.6642435830793598,0.6642435830793598
3,0.6901086208644375,0.0,0.6901086208644375,0.6901086208644375,0.6901086208644375,0.6901086208644375,0.6901086208644375
4,0.7261142661585039,0.0,0.7261142661585039,0.7261142661585039,0.7261142661585039,0.7261142661585039,0.7261142661585039
5,0.7245411760645859,0.0,0.7245411760645859,0.7245411760645859,0.7245411760645859,0.7245411760645859,0.7245411760645859
6,0.7396314813576602,0.0,0.7396314813576602,0.7396314813576602,0.7396314813576602,0.7396314813576602,0.7396314813576602
7,0.7350035193217594,0.0,0.7350035193217594,0.7350035193217594,0.7350035193217594,0.7350035193217594,0.7350035193217594
8,0.734642240632457,0.0,0.734642240632457,0.734642240632457,0.734642240632457,0.734642240632457,0.734642240632457
9,0.7896590535720576,0.0,0.7896590535720576,0.7896590535720576,0.7896590535720576,0.7896590535720576,0.7896590535720576
10,0.8003388830053787,1.2412670766236366e-16,0.8003388830053786,0.8003388830053786,0.8003388830053786,0.8003388830053786,0.8003388830053786
11,0.7971326694433001,0.0,0.7971326694433001,0.7971326694433001,0.7971326694433001,0.7971326694433001,0.7971326694433001
12,0.8321091198244581,1.2412670766236366e-16,0.832109119824458,0.832109119824458,0.832109119824458,0.832109119824458,0.832109119824458
13,0.8730881886672807,0.0,0.8730881886672807,0.8730881886672807,0.8730881886672807,0.8730881886672807,0.8730881886672807
14,0.8911866333355623,0.0,0.8911866333355623,0.8911866333355623,0.8911866333355623,0.8911866333355623,0.8911866333355623
15,0.9132454832974213,0.0,0.9132454832974213,0.9132454832974213,0.9132454832974213,0.9132454832974213,0.9132454832974213
16,0.9118348787433685,0.0,0.9118348787433685,0.9118348787433685,0.9118348787433685,0.9118348787433685,0.9118348787433685
17,0.9140557541090508,0.0,0.9140557541090508,0.9140557541090508,0.9140557541090508,0.9140557541090508,0.9140557541090508
18,0.9141014082319774,1.2412670766236366e-16,0.9141014082319775,0.9141014082319775,0.9141014082319775,0.9141014082319775,0.9141014082319775
19,0.9179769759427936,0.0,0.9179769759427936,0.9179769759427936,0.9179769759427936,0.9179769759427936,0.9179769759427936
20,0.9193307824541499,0.0,0.9193307824541499,0.9193307824541499,0.9193307824541499,0.9193307824541499,0.9193307824541499
21,0.9179194589375316,0.0,0.9179194589375316,0.9179194589375316,0.9179194589375316,0.9179194589375316,0.9179194589375316
22,0.9222921892625815,0.0,0.9222921892625815,0.9222921892625815,0.9222921892625815,0.9222921892625815,0.9222921892625815
23,0.9255667042684088,0.0,0.9255667042684088,0.9255667042684088,0.9255667042684088,0.9255667042684088,0.9255667042684088
24,0.9293441335889965,0.0,0.9293441335889965,0.9293441335889965,0.9293441335889965,0.9293441335889965,0.9293441335889965
25,0.9310020612656762,0.0,0.9310020612656762,0.9310020612656762,0.9310020612656762,0.9310020612656762,0.9310020612656762
26,0.9336873864488497,0.0,0.9336873864488497,0.9336873864488497,0.9336873864488497,0.9336873864488497,0.9336873864488497
27,0.9344926245225189,0.0,0.9344926245225189,0.9344926245225189,0.9344926245225189,0.9344926245225189,0.9344926245225189
28,0.9362929067872223,0.0,0.9362929067872223,0.9362929067872223,0.9362929067872223,0.9362929067872223,0.9362929067872223
29,0.9369550713103021,0.0,0.9369550713103021,0.9369550713103021,0.9369550713103021,0.9369550713103021,0.9369550713103021
30,0.9411911987478547,0.0,0.9411911987478547,0.9411911987478547,0.9411911987478547,0.9411911987478547,0.9411911987478547
31,0.9407120101977651,1.2412670766236366e-16,0.940712010197765,0.940712010197765,0.940712010197765,0.940712010197765,0.940712010197765
