endpoint_name,endpoint_value,chosen_option,chose_positive,valid_choice_mass,option_probabilities,kind,layer,site,token_index,timing_policy,strength,direction_name,direction_source,direction_norm,sample_id,group,condition,condition_notes,hidden_norm,diagnostic_probe_projection,relative_magnitude
forced_choice_positive_probability,0.33975830829222053, No,False,0.9868365291322088,"{' Yes': 0.33975830829222053, ' No': 0.6602416917077795}",none,,block,-1,prefill_only,0.0,none,none,,pk000000,0a5854a70be89ac4,baseline,no intervention,45.933837890625,-0.08497682115020638,
forced_choice_positive_probability,0.3372598189057421, No,False,0.9869827026417239,"{' Yes': 0.3372598189057421, ' No': 0.6627401810942579}",add,30.0,block,-1,prefill_only,0.5,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,45.933837890625,-0.08497682115020638,0.010885221504690531
forced_choice_positive_probability,0.3347453127941363, No,False,0.98712439746977,"{' Yes': 0.3347453127941363, ' No': 0.6652546872058637}",add,30.0,block,-1,prefill_only,1.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,45.933837890625,-0.08497682115020638,0.021770443009381062
forced_choice_positive_probability,0.329693461745607, No,False,0.9873976444366452,"{' Yes': 0.329693461745607, ' No': 0.670306538254393}",add,30.0,block,-1,prefill_only,2.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,45.933837890625,-0.08497682115020638,0.043540886018762125
forced_choice_positive_probability,0.3195098283531295, No,False,0.9879000228918504,"{' Yes': 0.3195098283531295, ' No': 0.6804901716468704}",add,30.0,block,-1,prefill_only,4.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,positive_steering,adds the probe direction,45.933837890625,-0.08497682115020638,0.08708177203752425
forced_choice_positive_probability,0.3422545774812254, No,False,0.9866863853903884,"{' Yes': 0.3422545774812254, ' No': 0.6577454225187747}",add,30.0,block,-1,prefill_only,0.5,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,45.933837890625,-0.08497682115020638,0.010885221504690531
forced_choice_positive_probability,0.34471268056141696, No,False,0.9865334397986671,"{' Yes': 0.34471268056141696, ' No': 0.6552873194385831}",add,30.0,block,-1,prefill_only,1.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,45.933837890625,-0.08497682115020638,0.021770443009381062
forced_choice_positive_probability,0.34962077284915505, No,False,0.9862157875008792,"{' Yes': 0.34962077284915505, ' No': 0.650379227150845}",add,30.0,block,-1,prefill_only,2.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,45.933837890625,-0.08497682115020638,0.043540886018762125
forced_choice_positive_probability,0.35917271439156956, No,False,0.9855372950299189,"{' Yes': 0.35917271439156956, ' No': 0.6408272856084305}",add,30.0,block,-1,prefill_only,4.0,probe,"logistic probe weights, train partition only",1.0,pk000000,0a5854a70be89ac4,negative_steering,subtracts the probe direction,45.933837890625,-0.08497682115020638,0.08708177203752425
forced_choice_positive_probability,0.3459558527990133, No,False,0.9869921706126048,"{' Yes': 0.3459558527990133, ' No': 0.6540441472009867}",add,30.0,block,-1,prefill_only,0.5,random_matched_norm,"random gaussian, unit norm (matched to probe by construction)",0.9999999999999999,pk000000,0a5854a70be89ac4,random_matched_norm,,45.933837890625,-0.08497682115020638,0.01088522150469053
