condition,strength,mean_valid_choice_mass,min_valid_choice_mass,chose_positive_rate,n
activation_patch_mismatched_prompt,0.0,0.988316809150647,0.9778930905183697,0.0,500
baseline,0.0,0.9783595771135855,0.9617872113242956,0.0,500
negative_steering,4.0,0.9777708362880564,0.961210420314885,0.0,500
nuisance_steering_nuisance_made_hand,4.0,0.9756392723919787,0.9572229826799838,0.002,500
orthogonal,4.0,0.9813310933267578,0.9675696271509291,0.0,500
positive_steering,4.0,0.9769375591922538,0.9592827568439471,0.002,500
random_matched_norm,4.0,0.98305816688032,0.9703450615337161,0.0,500
shuffled_label,4.0,0.9792583810850096,0.9638003347990198,0.0,500
wrong_layer,4.0,0.9631992120027969,0.9418439938326514,0.82,500
wrong_token_position,4.0,0.9783595771135855,0.9617872113242956,0.0,500
