layer,mean_validation_auroc,sd_across_seeds,seed_2026_validation_auroc,seed_2027_validation_auroc,seed_2028_validation_auroc,seed_2029_validation_auroc,seed_2030_validation_auroc
0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
1,0.5,0.0,0.5,0.5,0.5,0.5,0.5
2,0.5,0.0,0.5,0.5,0.5,0.5,0.5
3,0.6109756465810094,0.0,0.6109756465810094,0.6109756465810094,0.6109756465810094,0.6109756465810094,0.6109756465810094
4,0.6150758900936305,0.0,0.6150758900936305,0.6150758900936305,0.6150758900936305,0.6150758900936305,0.6150758900936305
5,0.6169825788180687,0.0,0.6169825788180687,0.6169825788180687,0.6169825788180687,0.6169825788180687,0.6169825788180687
6,0.6143367965760127,0.0,0.6143367965760127,0.6143367965760127,0.6143367965760127,0.6143367965760127,0.6143367965760127
7,0.6599039250323353,0.0,0.6599039250323353,0.6599039250323353,0.6599039250323353,0.6599039250323353,0.6599039250323353
8,0.7067583559626801,0.0,0.7067583559626801,0.7067583559626801,0.7067583559626801,0.7067583559626801,0.7067583559626801
9,0.7306178476705253,0.0,0.7306178476705253,0.7306178476705253,0.7306178476705253,0.7306178476705253,0.7306178476705253
10,0.7708829866855323,0.0,0.7708829866855323,0.7708829866855323,0.7708829866855323,0.7708829866855323,0.7708829866855323
11,0.7859919850053168,0.0,0.7859919850053168,0.7859919850053168,0.7859919850053168,0.7859919850053168,0.7859919850053168
12,0.8080537108174388,0.0,0.8080537108174388,0.8080537108174388,0.8080537108174388,0.8080537108174388,0.8080537108174388
13,0.841482234794481,0.0,0.841482234794481,0.841482234794481,0.841482234794481,0.841482234794481,0.841482234794481
14,0.9098207051153467,0.0,0.9098207051153467,0.9098207051153467,0.9098207051153467,0.9098207051153467,0.9098207051153467
15,0.9308730074851195,1.2412670766236366e-16,0.9308730074851194,0.9308730074851194,0.9308730074851194,0.9308730074851194,0.9308730074851194
16,0.9373821350743731,0.0,0.9373821350743731,0.9373821350743731,0.9373821350743731,0.9373821350743731,0.9373821350743731
17,0.9403151428614567,0.0,0.9403151428614567,0.9403151428614567,0.9403151428614567,0.9403151428614567,0.9403151428614567
18,0.9405782831605307,0.0,0.9405782831605307,0.9405782831605307,0.9405782831605307,0.9405782831605307,0.9405782831605307
19,0.940917274010294,0.0,0.940917274010294,0.940917274010294,0.940917274010294,0.940917274010294,0.940917274010294
20,0.9411617212826581,0.0,0.9411617212826581,0.9411617212826581,0.9411617212826581,0.9411617212826581,0.9411617212826581
21,0.9401893244124457,0.0,0.9401893244124457,0.9401893244124457,0.9401893244124457,0.9401893244124457,0.9401893244124457
22,0.9392863074298312,0.0,0.9392863074298312,0.9392863074298312,0.9392863074298312,0.9392863074298312,0.9392863074298312
23,0.9410377002400615,0.0,0.9410377002400615,0.9410377002400615,0.9410377002400615,0.9410377002400615,0.9410377002400615
24,0.9412339770205185,0.0,0.9412339770205185,0.9412339770205185,0.9412339770205185,0.9412339770205185,0.9412339770205185
25,0.9420032669658991,1.2412670766236366e-16,0.942003266965899,0.942003266965899,0.942003266965899,0.942003266965899,0.942003266965899
26,0.9422326160243815,0.0,0.9422326160243815,0.9422326160243815,0.9422326160243815,0.9422326160243815,0.9422326160243815
27,0.9422498711259599,0.0,0.9422498711259599,0.9422498711259599,0.9422498711259599,0.9422498711259599,0.9422498711259599
28,0.9424971942485868,1.2412670766236366e-16,0.9424971942485869,0.9424971942485869,0.9424971942485869,0.9424971942485869,0.9424971942485869
29,0.9446339509940735,0.0,0.9446339509940735,0.9446339509940735,0.9446339509940735,0.9446339509940735,0.9446339509940735
30,0.9457274930566191,0.0,0.9457274930566191,0.9457274930566191,0.9457274930566191,0.9457274930566191,0.9457274930566191
31,0.949773095414241,0.0,0.949773095414241,0.949773095414241,0.949773095414241,0.949773095414241,0.949773095414241
