layer,mean_validation_auroc,sd_across_seeds,seed_2026_validation_auroc,seed_2027_validation_auroc,seed_2028_validation_auroc,seed_2029_validation_auroc,seed_2030_validation_auroc
0,0.616396983808244,0.0,0.616396983808244,0.616396983808244,0.616396983808244,0.616396983808244,0.616396983808244
1,0.6292779171366885,0.0,0.6292779171366885,0.6292779171366885,0.6292779171366885,0.6292779171366885,0.6292779171366885
2,0.6598302313693434,0.0,0.6598302313693434,0.6598302313693434,0.6598302313693434,0.6598302313693434,0.6598302313693434
3,0.7023130104184865,0.0,0.7023130104184865,0.7023130104184865,0.7023130104184865,0.7023130104184865,0.7023130104184865
4,0.7405672111370177,0.0,0.7405672111370177,0.7405672111370177,0.7405672111370177,0.7405672111370177,0.7405672111370177
5,0.7551822821741141,0.0,0.7551822821741141,0.7551822821741141,0.7551822821741141,0.7551822821741141,0.7551822821741141
6,0.7972685533682318,0.0,0.7972685533682318,0.7972685533682318,0.7972685533682318,0.7972685533682318,0.7972685533682318
7,0.8207919300765767,0.0,0.8207919300765767,0.8207919300765767,0.8207919300765767,0.8207919300765767,0.8207919300765767
8,0.8387994259802873,0.0,0.8387994259802873,0.8387994259802873,0.8387994259802873,0.8387994259802873,0.8387994259802873
9,0.8596709092647672,0.0,0.8596709092647672,0.8596709092647672,0.8596709092647672,0.8596709092647672,0.8596709092647672
10,0.8748287970390247,0.0,0.8748287970390247,0.8748287970390247,0.8748287970390247,0.8748287970390247,0.8748287970390247
11,0.9078237865889036,1.2412670766236366e-16,0.9078237865889037,0.9078237865889037,0.9078237865889037,0.9078237865889037,0.9078237865889037
12,0.9174819702162565,1.2412670766236366e-16,0.9174819702162567,0.9174819702162567,0.9174819702162567,0.9174819702162567,0.9174819702162567
13,0.9143386658786836,0.0,0.9143386658786836,0.9143386658786836,0.9143386658786836,0.9143386658786836,0.9143386658786836
14,0.9113937952092648,1.2412670766236366e-16,0.9113937952092649,0.9113937952092649,0.9113937952092649,0.9113937952092649,0.9113937952092649
15,0.9079237223855466,0.0,0.9079237223855466,0.9079237223855466,0.9079237223855466,0.9079237223855466,0.9079237223855466
16,0.9112147735303866,0.0,0.9112147735303866,0.9112147735303866,0.9112147735303866,0.9112147735303866,0.9112147735303866
17,0.9116867724548186,1.2412670766236366e-16,0.9116867724548187,0.9116867724548187,0.9116867724548187,0.9116867724548187,0.9116867724548187
18,0.9097883517998868,0.0,0.9097883517998868,0.9097883517998868,0.9097883517998868,0.9097883517998868,0.9097883517998868
19,0.9100597601684672,0.0,0.9100597601684672,0.9100597601684672,0.9100597601684672,0.9100597601684672,0.9100597601684672
20,0.9087652680687874,0.0,0.9087652680687874,0.9087652680687874,0.9087652680687874,0.9087652680687874,0.9087652680687874
21,0.910721924691547,0.0,0.910721924691547,0.910721924691547,0.910721924691547,0.910721924691547,0.910721924691547
22,0.9124725985392118,0.0,0.9124725985392118,0.9124725985392118,0.9124725985392118,0.9124725985392118,0.9124725985392118
23,0.9145856295200276,1.2412670766236366e-16,0.9145856295200278,0.9145856295200278,0.9145856295200278,0.9145856295200278,0.9145856295200278
24,0.9162507468223652,0.0,0.9162507468223652,0.9162507468223652,0.9162507468223652,0.9162507468223652,0.9162507468223652
25,0.9222242473001158,0.0,0.9222242473001158,0.9222242473001158,0.9222242473001158,0.9222242473001158,0.9222242473001158
26,0.9270553162608483,0.0,0.9270553162608483,0.9270553162608483,0.9270553162608483,0.9270553162608483,0.9270553162608483
27,0.9313015091743218,0.0,0.9313015091743218,0.9313015091743218,0.9313015091743218,0.9313015091743218,0.9313015091743218
28,0.9339548405233187,1.2412670766236366e-16,0.9339548405233186,0.9339548405233186,0.9339548405233186,0.9339548405233186,0.9339548405233186
29,0.937937893137718,1.2412670766236366e-16,0.9379378931377181,0.9379378931377181,0.9379378931377181,0.9379378931377181,0.9379378931377181
30,0.9402533120808,0.0,0.9402533120808,0.9402533120808,0.9402533120808,0.9402533120808,0.9402533120808
31,0.940037623311067,0.0,0.940037623311067,0.940037623311067,0.940037623311067,0.940037623311067,0.940037623311067
