layer,auroc,pr_auc
0,0.8058114812189936,0.57724353320541
1,0.7065910701630049,0.31199305837909763
2,0.7484053862508859,0.3417807846591088
3,0.8065201984408221,0.4518024287691977
4,0.8426647767540751,0.5273294617585275
5,0.8504606661941886,0.5672408694052454
6,0.8128986534372785,0.5541975880482437
7,0.810772501771793,0.5704212240581454
8,0.8072289156626506,0.5830921189107735
9,0.8221119773210489,0.6046620074162177
10,0.8228206945428773,0.613026214984273
11,0.8433734939759037,0.6549070790251481
12,0.8518781006378455,0.7001488962211226
13,0.8490432317505315,0.6855289864074694
14,0.8490432317505314,0.6658934105815539
15,0.8398299078667611,0.6537897904777564
16,0.851169383416017,0.6319150401159882
17,0.8306165839829909,0.6131176622914759
18,0.8327427356484762,0.6174955266387492
19,0.8291991495393338,0.6123218558183013
20,0.8249468462083629,0.6084420595381582
21,0.8327427356484762,0.6244693072580945
22,0.8384124734231042,0.6426764091989006
23,0.8419560595322466,0.6427669413096122
24,0.8405386250885897,0.6495539579582206
25,0.8469170800850461,0.6508254073232277
26,0.8476257973068746,0.6464524671933524
27,0.8561304039688165,0.6456081073162399
28,0.8639262934089298,0.6431349599573124
29,0.8724309000708717,0.6615581992242219
30,0.8823529411764706,0.6574801016936567
31,0.9057406094968108,0.632245407793923
